;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;genero;total_genero
29;2902401;Aurelino Leal;Litoral Sul;1991;total_homens;8101
30;2902500;Baianópolis;Bacia do Rio Grande;1991;total_homens;7032
31;2902609;Baixa Grande;Bacia do Jacuípe;1991;total_homens;10807
32;2902658;Banzaê;Semiárido Nordeste II;1991;total_homens;5746
33;2902708;Barra;Velho Chico;1991;total_homens;20179
34;2902807;Barra da Estiva;Chapada Diamantina;1991;total_homens;8569
35;2902906;Barra do Choça;Sudoeste Baiano;1991;total_homens;12536
36;2903003;Barra do Mendes;Irecê;1991;total_homens;7251
37;2903102;Barra do Rocha;Médio Rio de Contas;1991;total_homens;5120
38;2903201;Barreiras;Bacia do Rio Grande;1991;total_homens;46778
39;2903235;Barro Alto;Irecê;1991;total_homens;6073
40;2903300;Barro Preto/Lomanto Junior;Litoral Sul;1991;total_homens;5466
41;2903276;Barrocas;Sisal;1991;total_homens;
42;2903409;Belmonte;Costa do Descobrimento;1991;total_homens;11191
43;2903508;Belo Campo;Sudoeste Baiano;1991;total_homens;7200
44;2903607;Biritinga;Sisal;1991;total_homens;7424
45;2903706;Boa Nova;Médio Rio de Contas;1991;total_homens;6792
46;2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;1991;total_homens;8727
47;2903904;Bom Jesus da Lapa;Velho Chico;1991;total_homens;24069
48;2903953;Bom Jesus da Serra;Sudoeste Baiano;1991;total_homens;5099
49;2904001;Boninal;Chapada Diamantina;1991;total_homens;6766
50;2904050;Bonito;Chapada Diamantina;1991;total_homens;5549
51;2904100;Boquira;Bacia do Paramirim;1991;total_homens;9443
52;2904209;Botuporã;Bacia do Paramirim;1991;total_homens;5025
53;2904308;Brejões;Vale do Jiquiriçá;1991;total_homens;6509
54;2904407;Brejolândia;Bacia do Rio Corrente;1991;total_homens;5818
55;2904506;Brotas de Macaúbas;Velho Chico;1991;total_homens;7117
56;2904605;Brumado;Sertão Produtivo;1991;total_homens;28062
57;2904704;Buerarema;Litoral Sul;1991;total_homens;10670
58;2904753;Buritirama;Bacia do Rio Grande;1991;total_homens;6414
59;2904803;Caatiba;Médio Sudoeste da Bahia;1991;total_homens;4969
60;2904852;Cabaceiras do Paraguaçu;Recôncavo;1991;total_homens;7086
61;2904902;Cachoeira;Recôncavo;1991;total_homens;13740
62;2905008;Caculé;Sertão Produtivo;1991;total_homens;8696
63;2905107;Caém;Piemonte da Diamantina;1991;total_homens;8577
64;2905156;Caetanos;Sudoeste Baiano;1991;total_homens;5394
65;2905206;Caetité;Sertão Produtivo;1991;total_homens;19865
66;2905305;Cafarnaum;Irecê;1991;total_homens;6908
67;2905404;Cairu;Baixo Sul;1991;total_homens;8076
68;2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;1991;total_homens;7778
69;2905602;Camacan;Litoral Sul;1991;total_homens;18681
70;2905701;Camaçari;Metropolitano de Salvador;1991;total_homens;57095
71;2905800;Camamu;Baixo Sul;1991;total_homens;17117
72;2905909;Campo Alegre de Lourdes;Sertão do São Francisco;1991;total_homens;13048
73;2906006;Campo Formoso;Piemonte Norte do Itapicuru;1991;total_homens;31102
74;2906105;Canápolis;Bacia do Rio Corrente;1991;total_homens;4838
75;2906204;Canarana;Irecê;1991;total_homens;11486
76;2906303;Canavieiras;Litoral Sul;1991;total_homens;16860
77;2906402;Candeal;Sisal;1991;total_homens;5276
78;2906501;Candeias;Metropolitano de Salvador;1991;total_homens;33953
79;2906600;Candiba;Sertão Produtivo;1991;total_homens;6360
80;2906709;Cândido Sales;Sudoeste Baiano;1991;total_homens;11873
