;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;local_natural;total_natural
66;2905404;Cairu;Baixo Sul;1991;natural.do.mun;13695
67;2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;1991;natural.do.mun;14346
68;2905602;Camacan;Litoral Sul;1991;natural.do.mun;21096
69;2905701;Camaçari;Metropolitano de Salvador;1991;natural.do.mun;52544
70;2905800;Camamu;Baixo Sul;1991;natural.do.mun;27745
71;2905909;Campo Alegre de Lourdes;Sertão do São Francisco;1991;natural.do.mun;23701
72;2906006;Campo Formoso;Piemonte Norte do Itapicuru;1991;natural.do.mun;56744
73;2906105;Canápolis;Bacia do Rio Corrente;1991;natural.do.mun;9122
74;2906204;Canarana;Irecê;1991;natural.do.mun;17180
75;2906303;Canavieiras;Litoral Sul;1991;natural.do.mun;28223
76;2906402;Candeal;Sisal;1991;natural.do.mun;9974
77;2906501;Candeias;Metropolitano de Salvador;1991;natural.do.mun;47978
78;2906600;Candiba;Sertão Produtivo;1991;natural.do.mun;11438
79;2906709;Cândido Sales;Sudoeste Baiano;1991;natural.do.mun;19332
80;2906808;Cansanção;Sisal;1991;natural.do.mun;27792
81;2906824;Canudos;Sertão do São Francisco;1991;natural.do.mun;11653
82;2906857;Capela do Alto Alegre;Bacia do Jacuípe;1991;natural.do.mun;16467
83;2906873;Capim Grosso;Bacia do Jacuípe;1991;natural.do.mun;14187
84;2906899;Caraíbas;Sudoeste Baiano;1991;natural.do.mun;16019
85;2906907;Caravelas;Extremo Sul;1991;natural.do.mun;17236
86;2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;1991;natural.do.mun;4904
87;2907103;Carinhanha;Velho Chico;1991;natural.do.mun;19877
88;2907202;Casa Nova;Sertão do São Francisco;1991;natural.do.mun;40967
89;2907301;Castro Alves;Recôncavo;1991;natural.do.mun;24052
90;2907400;Catolândia;Bacia do Rio Grande;1991;natural.do.mun;2903
91;2907509;Catu;Litoral Norte e Agreste Baiano;1991;natural.do.mun;35523
92;2907558;Caturama;Bacia do Paramirim;1991;natural.do.mun;8847
93;2907608;Central;Irecê;1991;natural.do.mun;12096
94;2907707;Chorrochó;Itaparica;1991;natural.do.mun;9019
95;2907806;Cícero Dantas;Semiárido Nordeste II;1991;natural.do.mun;23512
96;2907905;Cipó;Semiárido Nordeste II;1991;natural.do.mun;9539
97;2908002;Coaraci;Litoral Sul;1991;natural.do.mun;25052
98;2908101;Côcos;Bacia do Rio Corrente;1991;natural.do.mun;15292
99;2908200;Conceição da Feira;Portal do Sertão;1991;natural.do.mun;13885
100;2908309;Conceição do Almeida;Recôncavo;1991;natural.do.mun;16289
101;2908408;Conceição do Coité;Sisal;1991;natural.do.mun;47019
102;2908507;Conceição do Jacuípe;Portal do Sertão;1991;natural.do.mun;16892
103;2908606;Conde;Litoral Norte e Agreste Baiano;1991;natural.do.mun;15428
104;2908705;Condeúba;Sudoeste Baiano;1991;natural.do.mun;16235
105;2908804;Contendas do Sincorá;Sertão Produtivo;1991;natural.do.mun;3939
106;2908903;Coração de Maria;Portal do Sertão;1991;natural.do.mun;20662
107;2909000;Cordeiros;Sudoeste Baiano;1991;natural.do.mun;9479
108;2909109;Coribe;Bacia do Rio Corrente;1991;natural.do.mun;13095
109;2909208;Coronel João Sá;Semiárido Nordeste II;1991;natural.do.mun;16365
110;2909307;Correntina;Bacia do Rio Corrente;1991;natural.do.mun;24473
